gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,sentiment_label,sentiment_confidence,num_services,is_new_customer,avg_monthly_charge,churn_probability,churn_prediction,risk_tier,top_churn_factors,recommended_action
Female,0,Yes,No,1,Month-to-month,Electronic check,29.85,29.85,No,Positive,0.9370323398541012,1,1,29.85,0.00010206978350776452,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (1 bulan); Tidak ada Tech Support; Tidak ada Online Security; Pembayaran electronic check,Monitor rutin; ikutkan program loyalty reward
Male,0,No,No,34,One year,Mailed check,56.95,1889.5,No,Positive,0.8961150539852799,2,0,55.5735294117647,0.000984989034039888,No,Low,Tidak ada Tech Support; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Male,0,No,No,2,Month-to-month,Mailed check,53.85,108.15,Yes,Negative,0.3924865672623613,2,1,54.075,0.9992222690965487,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (2 bulan); Feedback negatif (confidence 39%); Tidak ada Tech Support; Hanya berlangganan sedikit layanan,Tawarkan kontrak tahunan diskon 20-30%; Berikan trial Tech Support gratis; PRIORITAS: Outreach personal oleh tim Customer Success
Male,0,No,No,45,One year,Bank transfer (automatic),42.3,1840.75,No,Positive,0.8811980412693032,3,0,40.90555555555556,0.0010962157006132105,No,Low,Tidak ada sinyal risiko dominan,Monitor rutin; ikutkan program loyalty reward
Female,0,No,No,2,Month-to-month,Electronic check,70.7,151.65,Yes,Negative,0.4411957450578003,0,1,75.825,0.9989458395000794,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (2 bulan); Tagihan bulanan tinggi ($70.70); Feedback negatif (confidence 44%); Fiber optic (segmen churn tinggi),Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Female,0,No,No,8,Month-to-month,Electronic check,99.65,820.5,Yes,Positive,0.4612156310321952,3,0,102.5625,0.9998462343093356,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (8 bulan); Tagihan bulanan tinggi ($99.65); Fiber optic (segmen churn tinggi); Tidak ada Tech Support,Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; Berikan trial Tech Support gratis
Male,0,No,Yes,22,Month-to-month,Credit card (automatic),89.1,1949.4,No,Positive,0.9413496809568686,2,0,88.60909090909091,3.7609121352474075e-05,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($89.10); Fiber optic (segmen churn tinggi); Tidak ada Tech Support; Tidak ada Online Security,Monitor rutin; ikutkan program loyalty reward
Female,0,No,No,10,Month-to-month,Mailed check,29.75,301.9,No,Neutral,0.5451871783605509,1,0,30.189999999999998,0.0006997704199149248,No,Low,Kontrak bulanan (fleksibel = risiko tinggi); Tenure pendek (10 bulan); Tidak ada Tech Support; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
Female,0,Yes,No,28,Month-to-month,Electronic check,104.8,3046.05,Yes,Negative,0.5558858373114962,4,0,108.78750000000001,0.9999894178090045,Yes,High,Kontrak bulanan (fleksibel = risiko tinggi); Tagihan bulanan tinggi ($104.80); Feedback negatif (confidence 56%); Fiber optic (segmen churn tinggi); Tidak ada Online Security,Tawarkan kontrak tahunan diskon 20-30%; Tawarkan loyalty bonus atau pengurangan biaya; PRIORITAS: Outreach personal oleh tim Customer Success
Male,0,No,Yes,62,One year,Bank transfer (automatic),56.15,3487.95,No,Positive,0.7714686707189014,2,0,56.25725806451613,0.00053305490159197,No,Low,Tidak ada Tech Support; Hanya berlangganan sedikit layanan,Monitor rutin; ikutkan program loyalty reward
