gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,predicted_sentiment_label,predicted_sentiment_score,sentiment_confidence,churn_probability_modern,churn_prediction_modern,risk_tier_modern,risk_reason_modern,recommendation_modern
Female,0,Yes,No,1,DSL,Month-to-month,Electronic check,29.85,29.85,No,Positive,1,0.8361191454056551,4.080405699040132e-05,No,Low,"tenure pendek, kontrak bulanan, indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,34,DSL,One year,Mailed check,56.95,1889.5,No,Positive,1,0.7444784896674616,0.003695918379296896,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,2,DSL,Month-to-month,Mailed check,53.85,108.15,Yes,Negative,-1,0.7806640299695711,0.9988503421897197,Yes,High,"tenure pendek, kontrak bulanan, feedback negatif","High risk -> retention call prioritas, service recovery, diskon personal, dan follow-up manajer CS"
Male,0,No,No,45,DSL,One year,Bank transfer (automatic),42.3,1840.75,No,Positive,1,0.8718915643480829,0.0001759708565617265,No,Low,indikasi sentiment sangat kuat,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,2,Fiber optic,Month-to-month,Electronic check,70.7,151.65,Yes,Neutral,0,0.6799323553700116,0.9983866140284555,Yes,High,"tenure pendek, monthly charge tinggi, kontrak bulanan, electronic check","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Female,0,No,No,8,Fiber optic,Month-to-month,Electronic check,99.65,820.5,Yes,Negative,-1,0.435056263014798,0.9997664526275107,Yes,High,"tenure pendek, monthly charge tinggi, kontrak bulanan, feedback negatif, electronic check","High risk -> retention call prioritas, service recovery, diskon personal, dan follow-up manajer CS"
Male,0,No,Yes,22,Fiber optic,Month-to-month,Credit card (automatic),89.1,1949.4,No,Positive,1,0.8874410731371791,4.982336935787636e-05,No,Low,"monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,No,No,10,DSL,Month-to-month,Mailed check,29.75,301.9,No,Positive,1,0.40457273230725144,0.001987475488646043,No,Low,"tenure pendek, kontrak bulanan","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Female,0,Yes,No,28,Fiber optic,Month-to-month,Electronic check,104.8,3046.05,Yes,Neutral,0,0.5736632337643246,0.9999937834874244,Yes,High,"monthly charge tinggi, kontrak bulanan, electronic check","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Male,0,No,Yes,62,DSL,One year,Bank transfer (automatic),56.15,3487.95,No,Positive,1,0.8193347812111892,0.0005134892509081565,No,Low,indikasi sentiment sangat kuat,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,Yes,Yes,13,DSL,Month-to-month,Mailed check,49.95,587.45,No,Positive,1,0.6634178822551308,0.004771015332569683,No,Low,kontrak bulanan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,16,No,Two year,Credit card (automatic),18.95,326.8,No,Positive,1,0.5803893196346133,7.832809425046045e-05,No,Low,tidak ada sinyal risiko dominan,"Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,Yes,No,58,Fiber optic,One year,Credit card (automatic),100.35,5681.1,No,Positive,1,0.8333247690408581,0.00018944647670092514,No,Low,"monthly charge tinggi, indikasi sentiment sangat kuat","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
Male,0,No,No,49,Fiber optic,Month-to-month,Bank transfer (automatic),103.7,5036.3,Yes,Neutral,0,0.5908105723204534,0.9999630878171634,Yes,High,"monthly charge tinggi, kontrak bulanan","High risk -> retention call, kontrak tahunan diskon, dan loyalty bundle"
Male,0,No,No,25,Fiber optic,Month-to-month,Electronic check,105.5,2686.05,No,Positive,1,0.9103738710460817,0.00011672289778493881,No,Low,"monthly charge tinggi, kontrak bulanan, indikasi sentiment sangat kuat, electronic check","Low risk -> pertahankan engagement, loyalty program, dan monitoring rutin"
