gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,predicted_sentiment_label,predicted_sentiment_score,churn_probability,churn_prediction,risk_tier,risk_reason,recommendation
Female,0,Yes,No,1,DSL,Month-to-month,Electronic check,29.85,29.85,No,Positive,1,0.16320660804324855,No,Low,"tenure pendek, kontrak bulanan, metode pembayaran electronic check",Low risk -> pertahankan engagement lewat loyalty campaign
Male,0,No,No,34,DSL,One year,Mailed check,56.95,1889.5,No,Positive,1,0.02114918238035551,No,Low,tidak ada sinyal risiko dominan,Low risk -> pertahankan engagement lewat loyalty campaign
Male,0,No,No,2,DSL,Month-to-month,Mailed check,53.85,108.15,Yes,Negative,-1,0.991740594369437,Yes,High,"tenure pendek, kontrak bulanan, feedback negatif","High risk -> retention call prioritas, service recovery, dan diskon personal 15-20%"
Male,0,No,No,45,DSL,One year,Bank transfer (automatic),42.3,1840.75,No,Positive,1,0.0,No,Low,tidak ada sinyal risiko dominan,Low risk -> pertahankan engagement lewat loyalty campaign
Female,0,No,No,2,Fiber optic,Month-to-month,Electronic check,70.7,151.65,Yes,Neutral,0,0.9988115059285363,Yes,High,"tenure pendek, monthly charge tinggi, kontrak bulanan, metode pembayaran electronic check",High risk -> retention call dan tawarkan upgrade kontrak
Female,0,No,No,8,Fiber optic,Month-to-month,Electronic check,99.65,820.5,Yes,Neutral,0,0.9999109033812897,Yes,High,"tenure pendek, monthly charge tinggi, kontrak bulanan, metode pembayaran electronic check",High risk -> retention call dan tawarkan upgrade kontrak
Male,0,No,Yes,22,Fiber optic,Month-to-month,Credit card (automatic),89.1,1949.4,No,Positive,1,0.12360652626625193,No,Low,"monthly charge tinggi, kontrak bulanan",Low risk -> pertahankan engagement lewat loyalty campaign
Female,0,No,No,10,DSL,Month-to-month,Mailed check,29.75,301.9,No,Positive,1,0.09209223644834003,No,Low,"tenure pendek, kontrak bulanan",Low risk -> pertahankan engagement lewat loyalty campaign
Female,0,Yes,No,28,Fiber optic,Month-to-month,Electronic check,104.8,3046.05,Yes,Positive,1,0.9794863061099717,Yes,High,"monthly charge tinggi, kontrak bulanan, metode pembayaran electronic check",High risk -> retention call dan tawarkan upgrade kontrak
Male,0,No,Yes,62,DSL,One year,Bank transfer (automatic),56.15,3487.95,No,Positive,1,0.22884993265809336,No,Low,tidak ada sinyal risiko dominan,Low risk -> pertahankan engagement lewat loyalty campaign
Male,0,Yes,Yes,13,DSL,Month-to-month,Mailed check,49.95,587.45,No,Neutral,0,0.3112916601244367,No,Low,kontrak bulanan,Low risk -> pertahankan engagement lewat loyalty campaign
Male,0,No,No,16,No,Two year,Credit card (automatic),18.95,326.8,No,Positive,1,0.007085697374366273,No,Low,tidak ada sinyal risiko dominan,Low risk -> pertahankan engagement lewat loyalty campaign
Male,0,Yes,No,58,Fiber optic,One year,Credit card (automatic),100.35,5681.1,No,Positive,1,0.011001550054126306,No,Low,monthly charge tinggi,Low risk -> pertahankan engagement lewat loyalty campaign
Male,0,No,No,49,Fiber optic,Month-to-month,Bank transfer (automatic),103.7,5036.3,Yes,Positive,1,0.9267037767364809,Yes,High,"monthly charge tinggi, kontrak bulanan",High risk -> retention call dan tawarkan upgrade kontrak
Male,0,No,No,25,Fiber optic,Month-to-month,Electronic check,105.5,2686.05,No,Positive,1,0.021632890881000448,No,Low,"monthly charge tinggi, kontrak bulanan, metode pembayaran electronic check",Low risk -> pertahankan engagement lewat loyalty campaign
Female,0,Yes,Yes,69,Fiber optic,Two year,Credit card (automatic),113.25,7895.15,No,Positive,1,0.007364064793243492,No,Low,monthly charge tinggi,Low risk -> pertahankan engagement lewat loyalty campaign
Female,0,No,No,52,No,One year,Mailed check,20.65,1022.95,No,Neutral,0,0.018064168072963883,No,Low,tidak ada sinyal risiko dominan,Low risk -> pertahankan engagement lewat loyalty campaign
Male,0,No,Yes,71,Fiber optic,Two year,Bank transfer (automatic),106.7,7382.25,No,Positive,1,0.014016997528234957,No,Low,monthly charge tinggi,Low risk -> pertahankan engagement lewat loyalty campaign
